Date,Close
7/17/2019,42.43
7/18/2019,42.55
7/19/2019,42.11
7/22/2019,42.83
7/23/2019,43.92
7/24/2019,44.67
7/25/2019,43.35
7/26/2019,43.77
7/29/2019,43.71
7/30/2019,43.86
7/31/2019,42.18
8/1/2019,41.23
8/2/2019,40.3
8/5/2019,37.7
8/6/2019,38.09
8/7/2019,38.47
8/8/2019,39.57
8/9/2019,38.55
8/12/2019,37.86
8/13/2019,39.01
8/14/2019,37.52
8/15/2019,37.19
8/16/2019,39.89
8/19/2019,42.7
8/20/2019,41.97
8/21/2019,42.81
8/22/2019,42.87
8/23/2019,40.61
8/26/2019,41.36
8/27/2019,40.45
8/28/2019,40.31
8/29/2019,41.75
8/30/2019,41.88
9/3/2019,41.04
9/4/2019,42.19
9/5/2019,44.94
9/6/2019,44.66
9/9/2019,45.13
9/10/2019,45.8
9/11/2019,46.08
9/12/2019,46.07
9/13/2019,45.49
9/16/2019,45.05
9/17/2019,45.27
9/18/2019,45
9/19/2019,44.24
9/20/2019,43.17
9/23/2019,43.71
9/24/2019,43.13
9/25/2019,44.56
9/26/2019,44.34
9/27/2019,42.94
9/30/2019,43.52
10/1/2019,43.5
10/2/2019,43.26
10/3/2019,45.33
10/4/2019,45.49
10/7/2019,46.08
10/8/2019,44.31
10/9/2019,45.18
10/10/2019,45.76
10/11/2019,46.5
10/14/2019,46.63
10/15/2019,49.09
10/16/2019,48.55
10/17/2019,48.57
10/18/2019,47.62
10/21/2019,49
10/22/2019,48.9
10/23/2019,48.77
10/24/2019,49.22
10/25/2019,51.14
10/28/2019,51.7
10/29/2019,50.73
10/30/2019,50.75
10/31/2019,50.26
11/1/2019,50.65
11/4/2019,52.63
11/5/2019,52.4
11/6/2019,51.91
11/7/2019,52.09
11/8/2019,51.95
11/11/2019,52.05
11/12/2019,52.4
11/13/2019,52.14
11/14/2019,52.45
11/15/2019,51.05
11/18/2019,53.07
11/19/2019,52
11/20/2019,52.8
11/21/2019,52.55
11/22/2019,52.72
11/25/2019,55.3
11/26/2019,54.25
11/27/2019,54.56
11/29/2019,54.19
12/2/2019,52.31
12/3/2019,51.92
12/4/2019,52.36
12/5/2019,52.19
12/6/2019,53.04
12/9/2019,53.04
12/10/2019,53.5
12/11/2019,54.34
12/12/2019,56.02
12/13/2019,56
12/16/2019,56.29
12/17/2019,57.07
12/18/2019,57.38
12/19/2019,58.87
12/20/2019,59.84
12/23/2019,59.71
12/24/2019,59.66
12/26/2019,59.8
12/27/2019,59.22
12/30/2019,58.08
